iter	Passed	Remaining
966	7209	246
967	7217	238
968	7225	231
969	7233	223
970	7241	216
971	7248	208
972	7257	201
973	7264	193
974	7273	186
975	7281	179
976	7290	171
977	7297	164
978	7307	156
979	7315	149
980	7323	141
981	7330	134
982	7338	126
983	7345	119
984	7352	111
985	7359	104
986	7366	97
987	7373	89
988	7380	82
989	7387	74
990	7395	67
991	7402	59
992	7409	52
993	7416	44
994	7423	37
995	7430	29
996	7437	22
997	7444	14
998	7451	7
999	7458	0
